x,y,radius,z
93.19,285.27,0.377,2.23
82.47,70.7,0.376,2.24
282.87,268.01,0.376,2.24
319.16,31.24,0.375,2.25
108.86,116.74,0.375,2.25
317.51,113.45,0.374,2.26
349.67,281.16,0.374,2.26
305.97,196.49,0.373,2.27
332.36,117.56,0.372,2.28
96.49,293.5,0.371,2.29
147.62,272.94,0.371,2.29
136.08,306.65,0.37,2.3
326.58,261.43,0.37,2.3
279.57,226.08,0.368,2.32
345.55,257.32,0.368,2.32
323.28,305.83,0.368,2.32
285.35,210.46,0.367,2.33
96.49,263.9,0.367,2.33
92.37,277.87,0.366,2.34
351.32,176.75,0.366,2.34
93.19,45.22,0.365,2.35
352.15,140.58,0.364,2.36
122.06,274.59,0.364,2.36
357.92,268.01,0.363,2.37
352.15,133.18,0.363,2.37
296.07,88.79,0.363,2.37
82.47,179.22,0.363,2.37
88.24,102.76,0.362,2.38
65.98,178.4,0.361,2.39
321.63,195.66,0.361,2.39
145.97,85.5,0.361,2.39
88.24,184.98,0.36,2.4
98.96,39.46,0.359,2.41
134.43,105.23,0.358,2.42
152.57,244.17,0.358,2.42
85.77,284.45,0.358,2.42
311.74,33.71,0.357,2.43
343.9,124.14,0.357,2.43
357.92,260.61,0.356,2.44
51.96,209.64,0.356,2.44
122.06,35.35,0.356,2.44
356.27,277.05,0.356,2.44
345.55,136.47,0.355,2.45
99.79,279.52,0.354,2.46
349.67,115.92,0.354,2.46
84.94,277.05,0.354,2.46
140.2,44.39,0.353,2.47
344.73,185.8,0.353,2.47
290.3,203.06,0.353,2.47
126.18,199.77,0.353,2.47
149.27,253.21,0.352,2.48
351.32,125.78,0.352,2.48
310.91,110.16,0.351,2.49
363.69,170.18,0.351,2.49
297.72,42.75,0.351,2.49
153.4,277.87,0.351,2.49
116.28,265.54,0.351,2.49
105.56,306.65,0.351,2.49
345.55,143.87,0.351,2.49
128.65,112.63,0.35,2.5
341.43,296.78,0.35,2.5
106.39,199.77,0.35,2.5
352.97,107.7,0.35,2.5
107.21,283.63,0.34900000000000003,2.51
94.84,193.2,0.34900000000000003,2.51
148.45,214.57,0.34900000000000003,2.51
336.48,124.14,0.348,2.52
352.15,147.98,0.348,2.52
118.76,198.95,0.348,2.52
317.51,264.72,0.34700000000000003,2.53
139.38,265.54,0.34700000000000003,2.53
112.98,307.47,0.34700000000000003,2.53
337.3,194.02,0.346,2.54
79.17,252.39,0.346,2.54
310.09,307.47,0.34500000000000003,2.55
92.37,270.48,0.34500000000000003,2.55
283.7,249.92,0.34500000000000003,2.55
114.63,34.53,0.34500000000000003,2.55
355.45,170.18,0.34500000000000003,2.55
358.75,136.47,0.344,2.56
364.52,239.24,0.343,2.57
358.75,143.87,0.343,2.57
374.42,226.08,0.343,2.57
153.4,295.14,0.343,2.57
290.3,305.83,0.343,2.57
121.23,308.29,0.343,2.57
149.27,63.3,0.343,2.57
288.65,69.06,0.343,2.57
357.1,53.44,0.34199999999999997,2.58
341.43,130.72,0.34199999999999997,2.58
323.28,119.21,0.34199999999999997,2.58
116.28,119.21,0.34199999999999997,2.58
287.82,261.43,0.341,2.59
59.38,181.69,0.341,2.59
96.49,115.1,0.341,2.59
139.38,203.88,0.341,2.59
357.1,95.37,0.341,2.59
128.65,266.37,0.339,2.61
89.07,291.85,0.339,2.61
140.2,99.48,0.339,2.61
360.4,151.27,0.33799999999999997,2.62
279.57,215.39,0.33799999999999997,2.62
93.19,300.07,0.337,2.63
330.71,307.47,0.33599999999999997,2.64
145.97,48.5,0.33599999999999997,2.64
291.95,83.03,0.335,2.65
97.32,306.65,0.333,2.67
52.78,217.04,0.333,2.67
359.57,164.42,0.333,2.67
83.3,94.54,0.333,2.67
383.49,184.98,0.333,2.67
152.57,220.33,0.333,2.67
79.17,81.39,0.33199999999999996,2.68
84.94,269.65,0.33199999999999996,2.68
354.62,155.38,0.33199999999999996,2.68
334.01,29.6,0.33199999999999996,2.68
293.59,50.15,0.33199999999999996,2.68
136.08,38.64,0.32999999999999996,2.7
102.26,120.03,0.32999999999999996,2.7
115.46,277.87,0.329,2.71
277.93,289.38,0.329,2.71
277.93,235.95,0.329,2.71
129.48,309.94,0.32799999999999996,2.72
78.35,64.95,0.32799999999999996,2.72
296.89,96.19,0.32799999999999996,2.72
357.92,129.07,0.32799999999999996,2.72
345.55,151.27,0.32799999999999996,2.72
61.85,231.01,0.32799999999999996,2.72
134.43,198.95,0.32799999999999996,2.72
356.27,253.21,0.327,2.73
70.92,173.47,0.327,2.73
77.52,173.47,0.327,2.73
385.14,200.6,0.327,2.73
352.97,163.6,0.327,2.73
86.59,47.68,0.327,2.73
364.52,264.72,0.327,2.73
362.87,272.94,0.32599999999999996,2.74
355.45,120.03,0.32599999999999996,2.74
70.1,245.81,0.325,2.75
376.89,175.11,0.325,2.75
350.5,288.56,0.325,2.75
123.71,119.21,0.325,2.75
324.93,27.13,0.325,2.75
98.96,272.12,0.324,2.76
88.24,110.16,0.323,2.77
304.32,107.7,0.323,2.77
296.07,195.66,0.323,2.77
79.17,281.99,0.323,2.77
355.45,46.04,0.323,2.77
145.97,261.43,0.323,2.77
338.95,140.58,0.323,2.77
362.05,157.85,0.323,2.77
312.56,191.55,0.322,2.78
370.29,167.71,0.322,2.78
145.97,207.17,0.322,2.78
287.0,62.48,0.321,2.79
150.1,70.7,0.321,2.79
364.52,258.14,0.321,2.79
329.06,124.14,0.321,2.79
340.6,304.18,0.32,2.8
84.94,172.64,0.32,2.8
364.52,140.58,0.32,2.8
283.7,302.54,0.32,2.8
301.02,101.94,0.32,2.8
348.03,170.18,0.32,2.8
359.57,76.46,0.32,2.8
112.16,195.66,0.319,2.81
157.52,231.01,0.319,2.81
95.67,185.8,0.319,2.81
100.61,312.4,0.319,2.81
339.78,147.98,0.319,2.81
79.17,272.94,0.318,2.82
78.35,87.97,0.318,2.82
81.65,101.12,0.318,2.82
382.66,178.4,0.318,2.82
357.1,113.45,0.318,2.82
316.69,120.85,0.318,2.82
364.52,133.18,0.318,2.82
299.37,36.17,0.318,2.82
366.17,162.78,0.317,2.83
346.38,35.35,0.317,2.83
155.87,250.75,0.317,2.83
89.89,177.58,0.317,2.83
348.03,157.85,0.317,2.83
109.69,313.23,0.316,2.84
116.28,313.23,0.316,2.84
80.0,288.56,0.316,2.84
80.82,54.26,0.316,2.84
