x,y,radius,z
35.21,13.32,0.37,0.23
37.77,22.2,0.37,0.23
29.85,30.66,0.37,0.23
28.12,26.88,0.37,0.23
37.11,17.43,0.37,0.23
31.67,11.43,0.37,0.23
15.34,29.19,0.36,0.24
9.9,3.95,0.36,0.24
14.76,25.49,0.36,0.24
9.9,28.03,0.36,0.24
11.63,20.06,0.36,0.24
28.7,20.64,0.36,0.24
8.74,5.1,0.36,0.24
9.4,26.39,0.36,0.24
35.87,26.88,0.36,0.24
13.61,30.75,0.36,0.24
6.19,22.53,0.36,0.24
31.75,19.48,0.36,0.24
8.33,6.08,0.36,0.24
8.58,28.45,0.36,0.24
35.71,5.75,0.36,0.24
34.8,11.92,0.36,0.24
33.32,12.09,0.36,0.24
15.17,27.62,0.36,0.24
35.79,25.98,0.36,0.24
35.21,28.12,0.36,0.24
35.79,7.89,0.36,0.24
34.56,13.65,0.36,0.24
34.64,12.82,0.36,0.24
29.69,9.13,0.36,0.24
8.41,27.71,0.36,0.24
14.51,5.01,0.36,0.24
15.5,23.51,0.36,0.24
13.36,3.95,0.36,0.24
34.56,14.39,0.35,0.25
10.47,30.66,0.35,0.25
30.76,3.45,0.35,0.25
7.59,17.68,0.35,0.25
14.76,8.3,0.35,0.25
35.21,14.8,0.35,0.25
10.89,3.54,0.35,0.25
35.21,11.18,0.35,0.25
13.94,26.55,0.35,0.25
14.93,21.62,0.35,0.25
9.24,11.02,0.35,0.25
35.71,9.29,0.35,0.25
35.3,12.5,0.35,0.25
28.86,6.74,0.35,0.25
12.7,19.9,0.35,0.25
35.87,13.65,0.35,0.25
34.31,29.27,0.35,0.25
9.07,27.05,0.35,0.25
35.79,27.71,0.35,0.25
35.87,14.39,0.35,0.25
32.16,26.55,0.35,0.25
8.99,18.42,0.35,0.25
6.1,18.0,0.35,0.25
10.64,28.2,0.35,0.25
29.52,4.52,0.34,0.26
28.04,24.58,0.34,0.26
12.54,3.54,0.34,0.26
8.41,9.45,0.34,0.26
14.93,7.48,0.34,0.26
11.3,30.83,0.34,0.26
33.9,12.74,0.34,0.26
15.26,24.91,0.34,0.26
36.04,16.77,0.34,0.26
35.63,10.03,0.34,0.26
14.93,6.0,0.34,0.26
5.61,22.11,0.34,0.26
36.04,15.13,0.34,0.26
32.49,19.48,0.34,0.26
8.0,25.49,0.34,0.26
9.73,30.58,0.34,0.26
11.55,26.64,0.34,0.26
30.93,11.1,0.34,0.26
12.12,30.91,0.34,0.26
29.03,30.66,0.34,0.26
10.06,26.64,0.34,0.26
14.1,20.47,0.34,0.26
9.73,27.29,0.34,0.26
29.19,5.26,0.34,0.26
11.63,27.79,0.33,0.27
35.46,15.54,0.33,0.27
36.53,24.01,0.33,0.27
36.37,26.39,0.33,0.27
32.08,12.0,0.33,0.27
37.44,22.85,0.33,0.27
15.42,22.2,0.33,0.27
12.29,11.84,0.33,0.27
8.74,29.19,0.33,0.27
9.24,30.09,0.33,0.27
7.83,6.58,0.33,0.27
11.22,12.17,0.33,0.27
15.67,28.12,0.33,0.27
8.33,26.97,0.33,0.27
35.87,16.11,0.33,0.27
35.38,16.61,0.33,0.27
36.78,16.77,0.33,0.27
34.56,15.13,0.33,0.27
6.27,23.27,0.33,0.27
34.06,18.66,0.33,0.27
8.33,17.35,0.33,0.27
28.78,7.48,0.33,0.27
14.68,26.88,0.33,0.27
10.64,19.65,0.33,0.27
33.81,30.58,0.33,0.27
15.01,30.01,0.33,0.27
27.79,29.1,0.33,0.27
13.94,10.44,0.33,0.27
32.66,2.71,0.33,0.27
32.0,2.71,0.33,0.27
35.54,11.84,0.33,0.27
12.95,31.08,0.33,0.27
9.98,12.0,0.33,0.27
6.93,24.42,0.33,0.27
13.44,19.81,0.33,0.27
28.04,20.96,0.33,0.27
35.87,12.91,0.33,0.27
13.36,11.1,0.33,0.27
34.8,17.18,0.33,0.27
7.83,8.3,0.33,0.27
7.92,28.2,0.33,0.27
14.6,26.23,0.32,0.28
34.89,3.78,0.32,0.28
33.9,14.06,0.32,0.28
34.97,29.02,0.32,0.28
7.75,7.23,0.32,0.28
14.6,9.45,0.32,0.28
7.92,8.96,0.32,0.28
10.39,27.54,0.32,0.28
29.11,8.63,0.32,0.28
31.17,19.07,0.32,0.28
9.65,18.74,0.32,0.28
29.28,19.73,0.32,0.28
7.01,17.18,0.32,0.28
37.85,17.51,0.32,0.28
30.51,30.91,0.32,0.28
36.45,27.29,0.32,0.28
10.06,31.24,0.32,0.28
29.77,9.95,0.32,0.28
33.98,14.8,0.32,0.28
34.97,16.03,0.32,0.28
36.45,25.73,0.32,0.28
32.66,12.33,0.32,0.28
33.9,3.04,0.32,0.28
28.7,5.84,0.32,0.28
8.16,10.11,0.32,0.28
38.43,21.87,0.32,0.28
33.24,12.82,0.32,0.28
8.91,17.68,0.32,0.28
35.79,10.69,0.32,0.28
5.44,18.17,0.32,0.28
14.76,20.8,0.32,0.28
10.72,31.32,0.32,0.28
8.0,28.86,0.32,0.28
36.53,14.55,0.32,0.28
36.53,13.48,0.32,0.28
12.04,19.48,0.32,0.28
8.08,5.43,0.32,0.28
28.37,30.42,0.32,0.28
6.35,17.35,0.32,0.28
36.53,16.11,0.32,0.28
29.61,3.86,0.32,0.28
28.12,25.4,0.32,0.28
35.96,25.32,0.32,0.28
8.58,10.85,0.32,0.28
11.63,31.4,0.31,0.29
35.54,4.44,0.31,0.29
11.71,2.96,0.31,0.29
33.73,13.4,0.31,0.29
12.95,11.84,0.31,0.29
37.19,23.68,0.31,0.29
8.82,4.36,0.31,0.29
7.75,27.54,0.31,0.29
7.75,17.02,0.31,0.29
30.93,2.8,0.31,0.29
8.41,26.31,0.31,0.29
27.71,22.69,0.31,0.29
12.45,31.49,0.31,0.29
31.92,18.83,0.31,0.29
31.42,12.09,0.31,0.29
13.44,31.49,0.31,0.29
28.12,26.14,0.31,0.29
35.87,28.36,0.31,0.29
36.62,15.46,0.31,0.29
10.56,12.41,0.31,0.29
9.98,19.32,0.31,0.29
30.51,19.24,0.31,0.29
37.52,16.85,0.31,0.29
15.5,25.57,0.31,0.29
15.67,29.84,0.31,0.29
15.83,22.85,0.31,0.29
34.14,18.0,0.31,0.29
36.37,24.66,0.31,0.29
14.02,3.78,0.31,0.29
11.88,12.41,0.31,0.29
27.79,29.92,0.31,0.29
15.83,24.17,0.31,0.29
9.32,11.67,0.31,0.29
9.57,18.09,0.31,0.29
11.38,19.4,0.31,0.29
36.45,27.95,0.31,0.29
27.71,24.01,0.31,0.29
6.27,23.92,0.31,0.29
8.58,29.84,0.31,0.29
14.84,30.75,0.31,0.29
7.67,5.92,0.31,0.29
7.75,9.62,0.31,0.29
33.98,15.46,0.31,0.29
33.32,19.32,0.31,0.29
15.34,26.97,0.31,0.29
34.39,29.92,0.31,0.29
14.68,4.36,0.31,0.29
30.02,10.61,0.31,0.29
15.59,21.54,0.31,0.29
28.62,8.14,0.31,0.29
8.82,30.58,0.31,0.29
37.19,16.28,0.31,0.29
15.01,8.96,0.31,0.29
28.86,4.69,0.31,0.29
7.83,26.55,0.31,0.29
35.63,28.94,0.31,0.29
34.56,16.52,0.31,0.29
12.62,26.8,0.31,0.29
11.22,27.29,0.31,0.29
14.02,11.1,0.31,0.29
15.83,27.46,0.31,0.29
28.04,20.31,0.31,0.29
36.53,12.82,0.31,0.29
12.62,12.41,0.31,0.29
9.4,31.16,0.31,0.29
8.66,11.51,0.3,0.3
35.96,11.35,0.3,0.3
8.91,17.02,0.3,0.3
14.1,19.81,0.3,0.3
34.97,29.68,0.3,0.3
30.43,11.51,0.3,0.3
7.09,25.07,0.3,0.3
28.62,19.9,0.3,0.3
14.1,31.24,0.3,0.3
32.49,30.99,0.3,0.3
30.76,18.58,0.3,0.3
7.92,10.69,0.3,0.3
31.83,30.99,0.3,0.3
38.27,17.02,0.3,0.3
12.37,2.88,0.3,0.3
9.4,3.45,0.3,0.3
38.51,17.84,0.3,0.3
33.32,2.55,0.3,0.3
